x	y	z	std
-176.9	36.87	4.0887	2.7
-160.29	-59.67	2.30687	3
-150.42	70.29	2.186097	2.1
-148.45	54.37	2.73685	1.95
-133.3	0.49	-0.897	1.8
-130.12	40.98	2.5222	3
-127.78	39.09	6.3376	1.8
-124.11	-65.68	2.664514	2.7
-119.98	32.83	8.0744	0.9
-110.07	5.28	2.4042	1.2
-99	79	3.5	3
-97.99	-63.68	1.75309	3.3
-95.32	0.18	2.6283	1.11
-87.17	28.83	-0.0455	1.5
-83.74	1.2	1.991	1.65
-82.66	27.25	-2.0274	1.8
-82.43	27.35	-0.5274	2.4
-82.05	9.15	1.1407	2.4
-80.28	25.78	-1.1236	3.3
-79.46	24.4	0.9929	2.01
-79.38	11.49	0.2638	1.2
-79	34	0.7303	2.1
-76.75	35.38	2.0429	1.8
-76.5	37	7.5402	1.8
-76.37	-16	5.962	1.11
-74.41	28.25	2.0049	1.05
-70.03	35.49	4.3567	1.8
-58.72	15.52	0.02	1.8
-58.5	15.5	0.02	1.8
-57.61	33.69	1.6624	0.9
-43.5	22.9	1.0319	1.5
-43.45	-62.39	2.954767	2.4
-35.5	37.34	1.7205	0.99
-35.28	-30.27	2.8697	2.1
-32.96	41	1.0365	0.99
-30.68	-51.54	2.03487	2.4
-29.48	45.51	5.0694	1.5
-24.87	32.03	2.7117	0.99
-24.24	49.88	5.9694	1.11
-23.23	56.04	5.9905	1.11
-23.09	42.84	5.0844	1.2
-21.9	4.55	-0.1104	1.5
-21.03	18.08	1.9318	1.2
-20	23	2.1318	1.29
-19.85	5.68	0.2963	1.5
-19.39	9.45	0.396	0.9
-18.89	53.22	7.0991	0.9
-14.57	-70.83	2.54045	2.7
-12.7	69.25	9.17003	2.1
-12	48.85	9.3053	1.2
-10.27	-26.07	2.7233	2.4
-9.6	33.8	2.3962	1.8
1.21	-65.16	3.09346	2.4
1.5	52.5	3.0532	2.4
3.07	78.58	8.65303	2.4
7.42	-46.88	2.64658	0.9
7.92	-58.64	2.563252	2.7
8.23	80.47	12.2763901	2.4
10.52	-19.74	1.4648	3.3
11.43	40.25	2.551	2.1
13.5	37.33	0.3703	1.8
13.58	37.33	2.3703	1.8
25.17	35.25	-1.9031	1.8
59.8	16.62	-0.8384	1.8
60.55	-3.92	0.4261	1.2
71.66	-49.4	2.43961	2.7
73.28	4.93	0.2886	1.8
76.79	-54.81	2.453574	2.4
78.98	-58.44	2.592133	2.7
79.81	-57.73	2.69258971	3
85.86	-59.6	2.652308	2.7
90.37	5.38	1.7004	2.1
93.57	-30.93	0.7753	3.6
110.11	-56.4	2.06301	3.3
112.21	-20.59	1.9195	0.9
121.29	8.78	-0.1261	2.4
133.2	25.52	1.3063	1.95
137	37	1.8629	2.4
140.5	39.5	1.7552	3.3
150.68	-62.9	2.1598274	2.7
150.88	-57.75	1.88054	2.7
151.57	-9.18	0.2205	1.05
153.84	38.63	6.5078	1.2
153.98	41.63	6.5189	0.9
158.5	-0.5	0.1018	3.3
159.36	0.31	0.1471	0.75
161.49	47.1	4.35248	0.9
163	56	3.27646	3
164.04	58.85	4.21851	3
165.44	-36.47	2.4453	1.2
167.09	-77.89	1.02635	1.5
167.77	51.2	3.78595	1.59
170.06	-61.09	2.32091	2.7
173.43	-68.99	2.77049	2.4
175.87	-39.5	2.2436	3
